Img;Dia;Hora;Pir;Sar;Tar;Tex;Taq;Urt
2018-09-04 16_12_28.png;04_09_2018;16_12_28;24.543;0.051;10.489;15.905;17.473;107.629
2018-09-04 16_12_44.png;04_09_2018;16_12_44;28.089;0.022;10.458;15.875;17.423;107.774
2018-09-04 16_13_00.png;04_09_2018;16_13_00;24.482;0.036;10.435;15.878;17.434;107.853
2018-09-04 16_13_15.png;04_09_2018;16_13_15;23.167;0.102;10.469;15.854;17.401;107.833
2018-09-04 16_13_31.png;04_09_2018;16_13_31;24.194;0.106;10.406;15.855;17.43;107.739
2018-09-04 16_13_47.png;04_09_2018;16_13_47;25.08;0.088;10.4;15.915;17.416;107.72
2018-09-04 16_14_03.png;04_09_2018;16_14_03;25.526;0.079;10.477;15.91;17.373;107.754
2018-09-04 16_14_19.png;04_09_2018;16_14_19;25.988;0.045;10.41;15.9;17.344;107.688
2018-09-04 16_14_34.png;04_09_2018;16_14_34;26.536;0.076;10.541;15.904;17.33;107.662
2018-09-04 16_14_50.png;04_09_2018;16_14_50;26.319;0.07;10.565;15.973;17.301;107.592
2018-09-04 16_15_06.png;04_09_2018;16_15_06;27.009;0.076;10.534;16.006;17.337;107.562
2018-09-04 16_15_21.png;04_09_2018;16_15_21;27.073;0.062;10.612;16.008;17.322;107.51
2018-09-04 16_15_37.png;04_09_2018;16_15_37;27.519;0.062;10.562;16.01;17.265;107.666
2018-09-04 16_15_53.png;04_09_2018;16_15_53;27.514;0.115;10.594;16.036;17.275;107.587
2018-09-04 16_16_09.png;04_09_2018;16_16_09;27.783;0.161;10.67;16.031;17.303;107.638
2018-09-04 16_16_25.png;04_09_2018;16_16_25;27.955;0.162;10.668;16.036;17.293;107.644
2018-09-04 16_16_40.png;04_09_2018;16_16_40;28.127;0.158;10.613;16.031;17.343;107.649
2018-09-04 16_16_56.png;04_09_2018;16_16_56;28.681;0.794;10.648;16.079;17.28;107.6
2018-09-04 16_17_12.png;04_09_2018;16_17_12;28.441;0.125;10.582;16.104;17.373;107.601
2018-09-04 16_17_27.png;04_09_2018;16_17_27;28.812;0.079;10.466;16.09;17.31;107.639
2018-09-04 16_17_43.png;04_09_2018;16_17_43;29.313;0.058;10.484;16.085;17.271;107.691
2018-09-04 16_17_59.png;04_09_2018;16_17_59;29.561;0.083;10.541;16.063;17.267;107.74
2018-09-04 16_18_15.png;04_09_2018;16_18_15;29.468;0.073;10.458;16.054;17.188;107.662
2018-09-04 16_18_30.png;04_09_2018;16_18_30;29.827;0.096;10.396;16.07;17.241;107.595
2018-09-04 16_18_46.png;04_09_2018;16_18_46;30.155;0.116;10.455;16.061;17.241;107.618
2018-09-04 16_19_02.png;04_09_2018;16_19_02;30.612;0.049;10.393;16.037;17.194;107.69
2018-09-04 16_19_18.png;04_09_2018;16_19_18;30.711;0.249;10.3;16.028;17.205;107.766
