2018-09-09 07_31_29.png;09_09_2018;07_31_29;31.898;0.095;12.73;18.021;15.719;91.545
2018-09-09 07_31_45.png;09_09_2018;07_31_45;32.094;0.101;12.731;18.077;15.713;91.556
2018-09-09 07_32_01.png;09_09_2018;07_32_01;32.441;0.1;12.839;18.093;15.706;91.929
2018-09-09 07_32_16.png;09_09_2018;07_32_16;32.801;0.086;12.784;18.083;15.703;91.93
2018-09-09 07_32_32.png;09_09_2018;07_32_32;33.258;0.068;12.731;18.077;15.684;91.817
2018-09-09 07_32_48.png;09_09_2018;07_32_48;33.702;0.033;12.763;18.067;15.696;91.419
2018-09-09 07_33_04.png;09_09_2018;07_33_04;34.429;0.115;12.809;18.065;15.703;91.372
2018-09-09 07_33_19.png;09_09_2018;07_33_19;34.713;0.069;12.803;18.076;15.678;91.382
2018-09-09 07_33_35.png;09_09_2018;07_33_35;35.566;0.149;12.769;18.047;15.683;91.337
2018-09-09 07_33_51.png;09_09_2018;07_33_51;35.866;0.497;12.705;18.08;15.688;91.352
2018-09-09 07_34_07.png;09_09_2018;07_34_07;36.287;0.127;12.714;18.087;15.675;91.478
2018-09-09 07_34_22.png;09_09_2018;07_34_22;36.435;0.06;12.69;18.106;15.689;91.511
2018-09-09 07_34_38.png;09_09_2018;07_34_38;36.307;0.068;12.721;18.072;15.683;91.687
2018-09-09 07_34_54.png;09_09_2018;07_34_54;36.274;0.087;12.693;18.097;15.712;91.747
2018-09-09 07_35_10.png;09_09_2018;07_35_10;35.974;0.1;12.634;18.138;15.688;91.762
2018-09-09 07_35_25.png;09_09_2018;07_35_25;35.921;0.106;12.674;18.144;15.677;91.552
2018-09-09 07_35_41.png;09_09_2018;07_35_41;35.731;0.054;12.644;18.102;15.685;91.443
2018-09-09 07_35_57.png;09_09_2018;07_35_57;35.678;0.112;12.683;18.087;15.666;91.317
2018-09-09 07_36_13.png;09_09_2018;07_36_13;35.686;0.141;12.547;18.065;15.678;91.358
2018-09-09 07_36_28.png;09_09_2018;07_36_28;35.325;0.087;12.654;18.124;15.693;91.424
2018-09-09 07_36_44.png;09_09_2018;07_36_44;35.168;0.154;12.73;18.088;15.725;91.832
2018-09-09 07_37_00.png;09_09_2018;07_37_00;35.282;0.14;12.699;18.137;15.732;91.654
2018-09-09 07_37_16.png;09_09_2018;07_37_16;35.333;0.154;12.614;18.107;15.731;91.634
2018-09-09 07_37_31.png;09_09_2018;07_37_31;35.297;0.106;12.736;18.083;15.717;91.591
2018-09-09 07_37_47.png;09_09_2018;07_37_47;35.778;0.103;12.719;18.1;15.752;91.784
2018-09-09 07_38_03.png;09_09_2018;07_38_03;36.114;0.157;12.738;18.111;15.755;92.007
2018-09-09 07_38_18.png;09_09_2018;07_38_18;35.833;0.108;12.723;18.111;15.75;91.799
2018-09-09 07_38_34.png;09_09_2018;07_38_34;36.532;0.093;12.69;18.133;15.764;91.715
2018-09-09 07_38_50.png;09_09_2018;07_38_50;36.012;0.073;12.784;18.131;15.783;91.935
2018-09-09 07_39_06.png;09_09_2018;07_39_06;35.863;0.043;12.781;18.15;15.758;92.095
2018-09-09 07_39_22.png;09_09_2018;07_39_22;35.529;0.127;12.885;18.157;15.736;91.514
2018-09-09 07_39_37.png;09_09_2018;07_39_37;35.379;0.074;12.831;18.186;15.707;91.486
2018-09-09 07_39_53.png;09_09_2018;07_39_53;34.842;0.074;12.859;18.148;15.703;91.572
2018-09-09 07_40_09.png;09_09_2018;07_40_09;34.491;0.065;12.853;18.165;15.709;91.602
2018-09-09 07_40_25.png;09_09_2018;07_40_25;34.43;0.046;12.885;18.154;15.71;91.407
2018-09-09 07_40_40.png;09_09_2018;07_40_40;34.24;0.059;12.896;18.168;15.733;91.101
2018-09-09 07_40_56.png;09_09_2018;07_40_56;33.916;0.085;12.905;18.185;15.722;91.258
2018-09-09 07_41_12.png;09_09_2018;07_41_12;33.811;0.056;12.896;18.222;15.738;91.435
2018-09-09 07_41_27.png;09_09_2018;07_41_27;33.637;0.013;12.938;18.22;15.736;91.542
2018-09-09 07_41_43.png;09_09_2018;07_41_43;33.802;0.113;13.029;18.254;15.725;91.633
2018-09-09 07_41_59.png;09_09_2018;07_41_59;34.239;0.048;13.05;18.24;15.726;91.495
2018-09-09 07_42_15.png;09_09_2018;07_42_15;34.109;0.095;13.068;18.255;15.713;91.033
2018-09-09 07_42_30.png;09_09_2018;07_42_30;34.449;0.209;12.932;18.305;15.726;90.751
2018-09-09 07_42_46.png;09_09_2018;07_42_46;35.116;0.054;12.986;18.268;15.726;90.958
2018-09-09 07_43_02.png;09_09_2018;07_43_02;35.22;0.114;12.873;18.323;15.726;91.044
2018-09-09 07_43_18.png;09_09_2018;07_43_18;35.508;0.114;12.923;18.347;15.731;90.913
2018-09-09 07_43_33.png;09_09_2018;07_43_33;35.906;0.133;12.903;18.356;15.713;91.02
2018-09-09 07_43_49.png;09_09_2018;07_43_49;36.016;0.123;12.93;18.407;15.742;91.116
2018-09-09 07_44_05.png;09_09_2018;07_44_05;36.229;0.071;12.942;18.372;15.725;91.154
2018-09-09 07_44_21.png;09_09_2018;07_44_21;35.949;0.156;12.907;18.408;15.732;91.069
2018-09-09 07_44_36.png;09_09_2018;07_44_36;36.335;0.14;12.868;18.385;15.71;90.913
2018-09-09 07_44_52.png;09_09_2018;07_44_52;36.155;0.116;12.838;18.433;15.699;90.935
2018-09-09 07_45_08.png;09_09_2018;07_45_08;36.053;0.091;12.797;18.399;15.705;90.954
2018-09-09 07_45_24.png;09_09_2018;07_45_24;35.653;0.092;12.692;18.384;15.728;91.124
2018-09-09 07_45_39.png;09_09_2018;07_45_39;35.179;0.054;12.672;18.349;15.724;91.198
2018-09-09 07_45_55.png;09_09_2018;07_45_55;34.923;0.09;12.617;18.337;15.708;91.424
2018-09-09 07_46_11.png;09_09_2018;07_46_11;34.669;0.077;12.647;18.361;15.747;91.719
2018-09-09 07_46_27.png;09_09_2018;07_46_27;33.862;0.076;12.605;18.353;15.746;92.1
2018-09-09 07_46_42.png;09_09_2018;07_46_42;33.654;0.153;12.538;18.335;15.731;92.61
2018-09-09 07_46_58.png;09_09_2018;07_46_58;33.607;0.277;12.47;18.328;15.711;92.712
2018-09-09 07_47_14.png;09_09_2018;07_47_14;33.346;0.127;12.487;18.358;15.719;92.694
2018-09-09 07_47_30.png;09_09_2018;07_47_30;33.763;0.149;12.44;18.334;15.708;92.868
2018-09-09 07_47_45.png;09_09_2018;07_47_45;34.145;0.107;12.44;18.318;15.724;92.897
2018-09-09 07_48_01.png;09_09_2018;07_48_01;34.726;0.111;12.433;18.305;15.685;93.15
2018-09-09 07_48_17.png;09_09_2018;07_48_17;35.279;0.069;12.457;18.267;15.699;92.783
2018-09-09 07_48_33.png;09_09_2018;07_48_33;35.884;0.078;12.491;18.24;15.742;92.949
2018-09-09 07_48_49.png;09_09_2018;07_48_49;36.179;0.068;12.471;18.222;15.738;93.337
2018-09-09 07_49_04.png;09_09_2018;07_49_04;36.335;0.305;12.403;18.236;15.742;92.669
2018-09-09 07_49_20.png;09_09_2018;07_49_20;36.827;0.062;12.441;18.241;15.804;93.236
2018-09-09 07_49_36.png;09_09_2018;07_49_36;37.24;0.058;12.429;18.226;15.823;93.444
2018-09-09 07_49_52.png;09_09_2018;07_49_52;37.317;0.119;12.458;18.208;15.795;93.524
2018-09-09 07_50_07.png;09_09_2018;07_50_07;37.701;0.087;12.413;18.204;15.798;93.371
2018-09-09 07_50_23.png;09_09_2018;07_50_23;37.759;0.089;12.44;18.192;15.798;93.226
2018-09-09 07_50_39.png;09_09_2018;07_50_39;37.99;0.048;12.577;18.185;15.817;93.093
2018-09-09 07_50_55.png;09_09_2018;07_50_55;38.101;0.197;12.541;18.202;15.818;92.992
